Input,Predicted,Actual
Go and find the calf.,<unk> <unk> <unk> <unk> .,जाओ और बछड़ा खोजो.
Couldn't you spend it better?,तुम <unk> <unk> <unk> नहीं नहीं ?,क्या तुम इसे ढंग से खर्च नहीं कर सकती थी?
- To what end?,<unk> क्या क्या है ?,- किस लिए?
"I understand, of course.","<unk> , , , <unk> . .",एल पाठ्यक्रम की समझ.
With a force that size,<unk> <unk> <unk> <unk> .,एक बल के साथ आकार कि
I know a hotel there.,<unk> <unk> <unk> <unk> है .,मैं वहाँ एक होटल में पता है.
"It's inside him, look!","<unk> , , , , , ! !","यह उसके अंदर है, देखो!"
One of them found Beth.,<unk> <unk> <unk> <unk> <unk> .,उनमें से एक बेथ पाया.
I really like him!,वह <unk> <unk> <unk> <unk> !,मुझे वह वाकई पसंद है!
Just your basic Dover elevator.,<unk> <unk> <unk> <unk> <unk> .,बस आपका मूल डोवर एलिवेटर.
It's all good down here.,"यहाँ , यहाँ हो है .",यहाँ रास्ता.
To why I'm here?,"<unk> , मैं क्यों ? ?",मैं यहाँ क्या करूँ?
- Leave it there.,<unk> <unk> <unk> है .,- यहीं रखना।
What were you doing there?,"तुम , क्या रहे हैं ?",तुम वहाँ क्या कर रहे थे?
What's happening? - POLICEMAN:,<unk> के <unk>,क्या हो रहा है?
Get down on the ground!,<unk> पर <unk> !,जमीन पर बैठ जाओ!
I too have to go.,<unk> हो है . .,मुझे भी जाना है.
So why is he coming?,वह वह क्या रहा है,तो क्यों आ रहा है?
I reckon he is.,वह <unk> <unk> है .,मुझे लगता है वह है लगता है.
"Snotlout, what are you doing?","अरे , क्या कर रहे ? ?","स्नॉटलाउट, तुम क्या कर रहे हो?"
My brother was no Vernian.,"<unk> , <unk> कोई <unk> .",यह मेरे पिता की नकल थी.
We gotta go fast.,<unk> से <unk> . .,हम तेजी से जाना होगा.
This is a conspiracy.,<unk> <unk> <unk> है .,यह एक षड्यंत्र है.
I came into some resources.,<unk> <unk> के <unk> . .,मैं कुछ संसाधनों में आया।
Look at her features.,<unk> <unk> <unk> <unk> .,अपनी सुविधाओं को देखो.
"YOU CUT IT OFF, RIGHT?",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"तुम सही हो, इसे काट?"
You know the regulations.,<unk> <unk> <unk> <unk> .,आप नियमों को जानते हैं.
How have you done that?,क्या क्या क्या है ?,जानते हो।
Will you slow down?,<unk> <unk> <unk> <unk> कर ?,"विंसेंट स्वान, मैं यहाँ पिछले 12 महीनों से..."
"Come on, come on.","<unk> , , चलो .","चलो, चलो."
He had to be punished.,<unk> <unk> <unk> . .,वह दंडित किया जाना था।
Does it have a name?,यह एक <unk> है है,- उसका कोई नाम है?
I was the keynote speaker.,<unk> <unk> <unk> <unk> .,मैं मुख्य वक्ता थे.
"It is me, your bestie!","<unk> , , , , <unk> ! !","यह मैं हूँ, तुम्हारा सबसे अच्छा दोस्त!"
"Three targets, highly specific.","<unk> , <unk> <unk> <unk> .","तीन लक्ष्यों, अति विशिष्ट."
"Ram, what happened to you?","<unk> , क्या क्या क्या ? ? ?","राम, तुम्हें क्या हुआ?"
"My life is complicated, Max.","<unk> <unk> <unk> <unk> , <unk> .","मेरा जीवन मैक्स, जटिल है."
but you made it.,लेकिन तुम यह <unk> . .,लेकिन आप इसे बनाया है।
"""Don't come back."" I know.",""" आप विकिपीडिया पर जांच । "" । "" ""","वापस मत आना।"" मुझे याद है।"
"You're like a knife, right?","एक एक एक , , , है है ?","आप सही, एक चाकू की तरह कर रहे हैं?"
I fought by his side.,<unk> <unk> <unk> <unk> <unk> .,उसके कंधे से कंधा मिलाकर लड़ाई की थी।
It gets very gloomy.,<unk> <unk> <unk> <unk> .,यहाँ बहुत अँधेरा होता है।
That last Martini was a...,<unk> . <unk> <unk> . .,यही कारण है कि पिछले एक मार्टिनी था ...
- Leave it to me,<unk> मुझे <unk> <unk> .,- इसे मेरे ऊपर छोड़ दो
- Take it back?,<unk> <unk> <unk> है है,- इसे वापस ले लो?
"Be careful, that's treason.","<unk> , <unk> , <unk> है .","सावधान रहो, यह देशद्रोह है."
Compel her a nanny.,<unk> <unk> <unk> <unk> . .,उसे एक नानी मजबूर।
There are mitigating circumstances.,<unk> <unk> <unk> <unk> .,परिस्थितियों केस कम करने वाली हैं.
I just need to focus.,<unk> <unk> के <unk> . .,मैं तो बस ध्यान केंद्रित करने की जरूरत है।
I feel a change.,<unk> <unk> <unk> <unk> है .,मुझे अच्छा महसूस हो रहा है
I'll see you then.,"आप , आप <unk> जाएगा .",मैं तुम्हें फिर देखेंगे.
"Phil, just do it.","ठीक , यह , यह . .","फिल, बस करो."
You need to get well.,<unk> के के लिए . है,आप अच्छी तरह से प्राप्त की जरूरत है.
What do you call her?,क्या तुम <unk> <unk> ? ?,आप उसे क्या कहते हैं?
Indu will never come.,<unk> भी <unk> नहीं नहीं .,इंदु कभी नहीं आयेगी.
And neither can you be.,"<unk> , तुम तुम कर सकते हैं",और न ही तुम हो सकता है।
"Here, talk to puppy..","<unk> , , <unk> <unk> <unk> .","इधर, puppy.."
Will you read to me?,तुम मुझे मुझे <unk> ? ?,क्या तुम मेरे लिए पढ़ा है?
Did you carry me?,तुम मुझे <unk> <unk> ?,क्या आपने मुझे उठाया था?
You drove me to this.,<unk> <unk> <unk> <unk> <unk> . .,तुम मुझे इस के लिए चले गए थे.
"Sorry, what's your idea?","<unk> , क्या क्या क्या क्या ? ?","क्षमा करें, आपका क्या विचार है?"
Is this guy clean?,<unk> <unk> <unk> <unk> है है,हैइसआदमीकोस्वच्छ
You like hillbilly music?,<unk> <unk> <unk> <unk> है ?,आप गांव का संगीत पसंद है?
Satellites en route to targets.,<unk> <unk> <unk> <unk> <unk> . .,लक्ष्य को उपग्रहों रास्ते में.
I'm done with that.,मैं हमेशा के में रहा है .,मैं इस के साथ काम कर रहा हूँ.
Round them all up.,"<unk> , <unk> <unk> .",ले आओ सबको।
I'm not a family man.,मैं एक एक <unk> नहीं ।,मैं पारिवारिक आदमी नहीं हूँ।
"Well, that's the thing.","<unk> , यह <unk> है .","वैसे, यह बात है."
Stay away from me!,"<unk> , <unk> <unk> !",मुझसे दूर रहो!
My life is different,<unk> <unk> <unk> है .,मेरा जीवन अलग है
- Back it up.,<unk> <unk> <unk> . .,- - यह बैकअप लें।
You'll have to excuse me.,<unk> <unk> के . .,आप मुझे माफ करना होगा.
