Input,Predicted,Actual
© P@rM! NdeR M@nkÖÖ ™,( <unk> बंद बंद बंद,©@ पीआर एम !
- HE ALREADY TRIED.,<unk> <unk> <unk> <unk> .,- वह पहले से ही करने की कोशिश की.
- She has a point.,<unk> एक <unk> <unk> है .,- वह एक बिंदु है.
What should I do?,<unk> <unk> क्यों किया ? ?,मुझे क्या करना चाहिए?
It was played right here.,<unk> <unk> यहाँ यहाँ था . .,यह एक क्लासिक था मुझे मत बताना करें एक क्लासिक खेल
Her name is Tamayan,<unk> नाम नाम <unk> .,उसका नाम है 'तमयन'
Can you get there?,<unk> तुम पर <unk> हो ?,तुमवहाँमिलसकतेहैं
My name is Ayomatty.,<unk> नाम <unk> है .,मेरा नाम आयोमैट्टी.
Just a gentle reminder.,<unk> <unk> <unk> <unk> .,बस एक सज्जन अनुस्मारक.
"Sorry, I must go.","<unk> , <unk> <unk> वाला ।","माफ करना, मुझे जाना चाहिए."
Thank you very much.,<unk> बहुत बहुत बहुत . .,आपको बहुत बहुत धन्यवाद!
We will rise. Renewed.,<unk> <unk> <unk> <unk> . .,हम rise.Renewed जाएगा.
I'll have a look.,<unk> <unk> <unk> है .,मैं एक नज़र मारूंगा.
Your exit interview is over!,<unk> <unk> <unk> <unk> !,तुम्हारा अंतिम इंटरव्यू खत्म हो गया है!
You put me down!,<unk> मुझे <unk> ! !,मुझे नीचे उतारो!
And once is enough!,एक की की काफी है है,एक बार काफी है!
That's my uncle from Vizag.,<unk> <unk> <unk> <unk> <unk> .,यही कारण है कि विजाग से मेरे चाचा की।
What can you do?,<unk> तुम क्या कर सकते हो,तुम क्या कर सकते हैं?
Let's see who we have.,<unk> <unk> <unk> है है है .,हमारे पास चलो देखते हैं कौन.
You're waiting for me.,<unk> मुझसे लिए लिए रहे रहे रहे,आप मेरा इंतजार कर रहे हैं.
Relax your bow arm.,<unk> <unk> <unk> <unk> <unk> .,अपने धनुष हाथ को आराम से।
I'm right behind you.,<unk> मैं तुम्हारे पीछे पीछे . .,मैं तुम्हारे पीछे हूँ.
"Yeah, good, you coming in?","<unk> , , , , , , , हो","- बढ़िया, अंदर आओगे? - देखो, सच में सराहता हूँ..."
Take good care of it.,<unk> समय समय है . .,यह अच्छा ख्याल रखना.
That sounds very unlikely.,<unk> <unk> <unk> <unk> <unk> .,- यह बात सही नहीं लगती।
You're gonna be really happy.,<unk> <unk> में हैं हैं हैं .,तुम्हें वास्तव में खुश हो रहे हैं।
And when the doorbell rings...,<unk> में में जला . . .,औरजबघंटीबजतीहै...
You think I'm crazy.,<unk> <unk> <unk> <unk> <unk> . .,तुम्हें मैं सिरफिरा लगता हूँ।
"Three, two, one, go!","<unk> , , , , , ! !",हाँ. शॉन ठीक है.
Where are your daggers?,<unk> <unk> <unk> <unk> ? ?,कहाँ अपने खंजर हैं?
It must be true then!,<unk> <unk> <unk> होगा !,यह सच है तो होना चाहिए!
How did I know what?,<unk> <unk> कुछ क्या किया ?,मुझेकैसेपताथा?
You mustn't say that.,<unk> ऐसा नहीं किया . .,तुम्हें ऐसा नहीं कहना चाहिए.
It's men size 6.,<unk> <unk> <unk> <unk> <unk> <unk> .,यह पुरुषों 6 आकार है.
Then you're really fucked up.,"<unk> <unk> में , हैं रहे हो रहे",तो फिर तुम सच में गड़बड़ी बढ़ रहे हैं।
I think I mastered chi.,<unk> <unk> <unk> की गिरफ्तार है ।,शायद मैंने ऊर्जा पर महारत हासिल कर ली।
It's a personal matter.,<unk> <unk> <unk> <unk> है .,यह एक निजी मामला है.
"Jack, listen to me.","<unk> , , मेरी बात सुनो .","जैक, मेरी बात सुनो।"
Careful you don't get killed.,<unk> <unk> के नहीं । ।,सावधान तुम कहीं मारे न जाओ.
"Tell me, president patel.","<unk> मुझे मुझे , , .","राष्ट्रपति पटेल, मुझे बताओ."
"So, if anything happens inside..","<unk> , <unk> ' <unk> <unk> <unk> .","तो, कुछ भी अंदर होता है, तो .."
"- Yes Yes, it's her.!","<unk> <unk> , , यह वाला है !",- और उन दो मारवी...
- Say sorry right now.,"<unk> <unk> , , अब .",अब ठीक है माफी माँगने।
What are you doing here?,<unk> यहाँ क्या कर रहे रहे हैं,तुम यहाँ क्या कर रहे हो?
I'm not a little girl.,<unk> एक एक <unk> नहीं । ।,मैं एक छोटी लड़की नहीं हूँ.
How'd you get in?,<unk> <unk> <unk> ? ? ?,कैसे करेंगे आप में मिलता है?
For her and for Theo.,<unk> और <unk> <unk> <unk> . .,उसके लिए और थियो के लिए.
That's on the rise.,<unk> <unk> पर <unk> .,कि बढ़ रही है.
When they threw me off.,<unk> वे मुझे मुझे कर . .,तभी जब उन्होनें मुझे उठाकर फ़ेंक दिया.
- Is that spit?,<unk> <unk> <unk> <unk> ?,- कि थूक है?
Are you F-ing stupid.,<unk> <unk> <unk> .,आप एफ आईएनजी बेवकूफ हैं.
"We are swollen, bloated, foul.","<unk> <unk> <unk> , , , , , .","हम सूजन, फूला हुआ, बेईमानी से कर रहे हैं।"
I'm pulling the plug!,<unk> <unk> <unk> <unk> !,मैं प्लग खींच रहा हूँ!
I lost the rocket launcher.,<unk> <unk> <unk> <unk> .,-मैंने रॉकेट लांचर खो दिया।
Earthquakes toppled cities within hours.,<unk> <unk> <unk> <unk> <unk> .,भूकंपघंटेके भीतर शहरों गिरा
"Gather around, everyone, gather around.","<unk> , , , , , , . .",सब लोग जमा हो जाएं।
"Sir, you mean that 20/52?","<unk> , , कि कि कि है है","महोदय, आप देखेंगे कि 20/52 मतलब है?"
More over you like him.,<unk> <unk> <unk> <unk> <unk> है ।,और तो और तुम उसे चाहती हो.
